institution.displayName,institution.state,institution.city,searchData.tuition.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,School Website,searchData.acceptanceRate.rawValue
College of Saint Rose,NY,Albany,33386,2489,1010-1190,http://www.strose.edu,87
College of Southern Nevada,NV,Las Vegas,,,N/A,//www.csn.edu,
College of St. Benedict,MN,St. Joseph,46820,1782,990-1210,http://www.csbsju.edu,83
College of St. Elizabeth,NJ,Morristown,33613,,800-1000,http://www.cse.edu,64
College of St. Joseph,VT,Rutland,,,928-1083,http://www.csj.edu,54
College of St. Mary,NE,Omaha,20750,861,N/A,http://www.csm.edu,52
College of St. Scholastica,MN,Duluth,38282,2479,1050-1270,http://www.css.edu,66
College of the Atlantic,ME,Bar Harbor,43542,332,1210-1400,http://www.coa.edu/,67
College of the Holy Cross,MA,Worcester,54740,3128,1270-1420,http://www.holycross.edu,38
College of the Ozarks,MO,Point Lookout,19660,1565,1193-1300,http://www.cofo.edu,12
The College of Westchester,NY,White Plains,,,N/A,,
College of William and Mary,VA,Williamsburg,46283,6377,1310-1490,http://www.wm.edu,37
College of Wooster,OH,Wooster,52000,2004,1130-1370,http://www.wooster.edu/,54
Colorado Christian University,CO,Lakewood,,,N/A,http://www.ccu.edu,
Colorado College,CO,Colorado Springs,58086,2114,1300-1470,http://www.ColoradoCollege.edu,15
Colorado Mesa University,CO,Grand Junction,23163,9365,940-1160,http://www.coloradomesa.edu/,81
Colorado Mountain College,CO,Glenwood Springs,11172,5174,N/A,,
Colorado School of Mines,CO,Golden,39762,4954,1290-1450,http://www.mines.edu,49
Colorado State University,CO,Fort Collins,30780,26400,1070-1280,http://www.colostate.edu,84
Colorado State University--Pueblo,CO,Pueblo,27146,4385,920-1120,http://www.csupueblo.edu,95
Colorado Technical University,CO,Colorado Springs,,,N/A,//www.coloradotech.edu,
Columbia Basin College,WA,Pasco,,,N/A,,
Columbia Central University--Caguas,PR,Caguas,,,N/A,,
Columbia College,SC,Columbia,19890,1165,825-1075,https://www.columbiasc.edu,96
Columbia College,MO,Columbia,,,N/A,http://www.ccis.edu,
Columbia College Chicago,IL,Chicago,27756,6568,1000-1230,//www.colum.edu,87
Columbia College Hollywood,CA,Tarzana,24495,912,N/A,https://flashpoint.columbiacollege.edu/,50
Columbia College of Nursing,WI,Milwaukee,,,N/A,//www.ccon.edu/,
Columbia International University,SC,Columbia,23940,591,940-1120,//www.ciu.edu,33
Columbia University,NY,New York,61850,6202,1450-1560,http://www.columbia.edu,6
Columbus College of Art and Design,OH,Columbus,36750,1032,1010-1270,http://www.ccad.edu,88
Columbus State University,GA,Columbus,21152,6640,870-1100,http://www.columbusstate.edu,56
Community College of Denver,CO,Denver,,,N/A,//www.ccd.edu,
Conception Seminary College,MO,Conception,,,N/A,//www.conception.edu,
Concordia College,AL,Selma,,,N/A,http://www.ccal.edu/,
Concordia College--Moorhead,MN,Moorhead,41566,2097,1080-1368,http://www.concordiacollege.edu,61
Concordia College--New York,NY,Bronxville,34600,1226,950-1118,http://www.concordia-ny.edu,81
Concordia University,CA,Irvine,36740,1808,1030-1220,http://www.cui.edu,62
Concordia University,NE,Seward,33490,1836,890-1100,http://www.cune.edu,68
Concordia University,,"Montreal, Quebec",,,N/A,//www.concordia.ca/,
Concordia University,OR,Portland,,,N/A,http://www.cu-portland.edu,
Concordia University Chicago,IL,River Forest,32880,1477,990-1170,http://www.cuchicago.edu/,76
Concordia University--St. Paul,MN,St. Paul,22800,3094,850-1030,http://www.csp.edu,97
Concordia University Texas,TX,Austin,,,960-1140,http://www.concordia.edu,89
Concordia University Wisconsin,WI,Mequon,30352,3493,N/A,http://www.cuw.edu,65
Concord University,WV,Athens,18037,1729,920-1120,http://www.concord.edu,89
Connecticut College,CT,New London,56870,1844,1290-1430,http://www.conncoll.edu,38
Converse College,SC,Spartanburg,19240,893,1040-1200,http://www.converse.edu,59
Cooper Union,NY,New York,46700,858,1283-1510,http://cooper.edu,16
Coppin State University,MD,Baltimore,13113,2362,880-1030,http://www.coppin.edu,38
Corban University,OR,Salem,33378,,1040-1230,http://www.corban.edu,33
Cornell College,IA,Mount Vernon,43976,1026,1080-1320,http://www.cornellcollege.edu,61
Cornell University,NY,Ithaca,57222,15182,1390-1540,http://www.cornell.edu,11
Cornerstone University,MI,Grand Rapids,25360,1550,950-1180,http://www.cornerstone.edu,73
Cornish College of the Arts,WA,Seattle,33360,623,N/A,//www.cornish.edu,77
Cottey College,MO,Nevada,21750,277,1000-1130,//www.cottey.edu,97
Covenant College,GA,Lookout Mountain,35640,1002,1120-1350,http://www.covenant.edu,97
Cox College,MO,Springfield,,,N/A,//www.coxcollege.edu,
Creighton University,NE,Omaha,41400,4446,1150-1350,http://www.creighton.edu,71
Criswell College,TX,Dallas,14170,179,888-1083,//www.criswell.edu,100
Crowley's Ridge College,AR,Paragould,,,N/A,,
Crown College,MN,St. Bonifacius,26200,,830-1105,http://www.crown.edu,51
Culinary Institute of America,NY,Hyde Park,33690,2956,1020-1220,//www.ciachef.edu,98
Culver-Stockton College,MO,Canton,27205,1022,950-1140,http://www.culver.edu,46
Cumberland University,TN,Lebanon,22890,2093,930-1090,http://www.cumberland.edu,62
CUNY--Baruch College,NY,New York,18971,15024,1220-1390,http://www.baruch.cuny.edu,39
CUNY--Brooklyn College,NY,Brooklyn,18510,14978,1040-1220,http://www.brooklyn.cuny.edu,44
CUNY--City College,NY,New York,18475,13666,950-1190,//admissions@ccny.cuny.edu,38
CUNY--College of Staten Island,NY,Staten Island,19150,12211,990-1170,http://www.csi.cuny.edu,100
CUNY--Graduate Center,NY,New York,,,N/A,,
CUNY--Hunter College,NY,New York,18450,16249,1090-1260,http://www.hunter.cuny.edu,36
CUNY--John Jay College of Criminal Justice,NY,New York,18270,13319,920-1060,http://www.jjay.cuny.edu/,41
CUNY--Lehman College,NY,Bronx,18480,12639,920-1040,http://www.lehman.cuny.edu,40
CUNY--Medgar Evers College,NY,Brooklyn,18200,6638,740-920,https://ares.mec.cuny.edu/admissions/admissions/,99
CUNY--New York City College of Technology,NY,Brooklyn,14790,17269,N/A,http://www.citytech.cuny.edu,75
CUNY--Queens College,NY,Queens,18608,16620,1060-1220,http://www.qc.cuny.edu/,48
CUNY--York College,NY,Jamaica,18427,8495,880-1040,http://www.york.cuny.edu,53
Curry College,MA,Milton,40870,2356,940-1110,http://www.curry.edu,93
Curtis Institute of Music,PA,Philadelphia,,,N/A,//www.curtis.edu,
Cypress College,CA,Cypress,,,N/A,//www.cypresscollege.edu,
Daemen College,NY,Amherst,29430,1739,1040-1230,https://www.daemen.edu/,54
Dakota State University,SD,Madison,12606,2993,960-1220,http://www.dsu.edu,83
Dakota Wesleyan University,SD,Mitchell,28750,799,900-1060,http://www.dwu.edu,74
Dalhousie University,,"Halifax, Nova Scotia",,,N/A,//www.dal.ca/,
Dallas Baptist University,TX,Dallas,30320,3014,1090-1270,//www.dbu.edu,88
Dalton State College,GA,Dalton,,,N/A,//www.daltonstate.edu/,
Dartmouth College,NH,Hanover,57204,4417,1420-1560,http://www.dartmouth.edu,9
Davenport University,MI,Grand Rapids,18414,5166,970-1160,http://www.davenport.edu,89
Davidson College,NC,Davidson,53049,1843,1290-1450,https://davidson.edu,19
Davis and Elkins College,WV,Elkins,,,900-1100,http://www.davisandelkins.edu,42
Davis College,NY,Bible School Park,,,N/A,//www.davisny.edu,
Daytona State College,FL,Daytona Beach,,,N/A,//www.daytonastate.edu,
Dean College,MA,Franklin,40414,1323,910-1110,http://www.dean.edu,64
Defiance College,OH,Defiance,33260,525,855-1070,http://www.defiance.edu,52
Delaware State University,DE,Dover,18124,4208,840-1010,http://www.desu.edu,49
Delaware Technical Community College--Terry,DE,Dover,,,N/A,https://www.dtcc.edu/our-campuses/dover,
Delaware Valley University,PA,Doylestown,40620,1982,970-1160,http://www.delval.edu,66
Delta State University,MS,Cleveland,7671,3075,950-1190,//deltastate.edu,85
Denison University,OH,Granville,53830,2285,1210-1380,http://www.denison.edu,34
Denver College of Nursing,CO,Denver,,,N/A,,
DePaul University,IL,Chicago,41202,14507,1080-1290,http://www.depaul.edu,68
DePauw University,IN,Greencastle,51146,2156,1120-1340,http://www.depauw.edu,63
DEREE--The American College of Greece,,Athens,,3317,N/A,http://www.acg.edu,83
DeSales University,PA,Center Valley,38700,2499,1010-1230,http://www.desales.edu,79
Design Institute of San Diego,CA,San Diego,23999,98,N/A,//www.disd.edu,57
DeVry University,IL,Downers Grove,,,N/A,http://www.devry.edu,95
Dickinson College,PA,Carlisle,56498,2399,1200-1390,http://www.dickinson.edu,49
Dickinson State University,ND,Dickinson,11150,1375,860-913,http://www.dickinsonstate.edu/,66
Dillard University,LA,New Orleans,,,810-1030,http://www.dillard.edu,41
Dine College,AZ,Tsaile,,,N/A,,
Divine Word College,IA,Epworth,,,N/A,//www.dwci.edu,
Dixie State University,UT,Saint George,15798,9928,920-1130,http://www.dixie.edu,100
Doane University,NE,Crete,35300,1011,930-1110,http://www.doane.edu,68
Dominican College,NY,Orangeburg,29844,1450,940-1120,http://www.dc.edu,77
Dominican University,IL,River Forest,34420,2106,950-1130,http://www.dom.edu/,64
Dominican University of California,CA,San Rafael,46940,1355,1035-1210,http://www.dominican.edu,87
Donnelly College,KS,Kansas City,7260,305,N/A,http://donnelly.edu,100
Dordt University,IA,Sioux Center,31770,1426,987-1386,http://www.dordt.edu,73
Drake University,IA,Des Moines,42840,3015,1140-1360,//www.drake.edu,68
Drew University,NJ,Madison,40960,1668,1110-1310,http://www.drew.edu,69
Drexel University,PA,Philadelphia,54516,13490,1170-1380,http://www.drexel.edu,77
Drury University,MO,Springfield,29515,1489,1060-1230,http://www.drury.edu,68
Duke University,NC,Durham,58198,6682,1450-1570,http://www.duke.edu/,9
Dunwoody College of Technology,MN,Minneapolis,23119,1305,N/A,http://www.dunwoody.edu,62
Duquesne University,PA,Pittsburgh,39992,6013,1140-1280,http://www.duq.edu,72
D'Youville College,NY,Buffalo,27940,1699,1030-1200,http://www.dyc.edu,100
Earlham College,IN,Richmond,47380,1050,1160-1380,http://www.earlham.edu/admissions,65
East Carolina University,NC,Greenville,23516,23071,1030-1180,http://www.ecu.edu,82
East Central University,OK,Ada,16020,2965,910-1130,//www.ecok.edu,83
Eastern Connecticut State University,CT,Willimantic,23648,5011,1010-1190,http://www.easternct.edu,66
Eastern Florida State College,FL,Cocoa,,,N/A,//www.easternflorida.edu,
Eastern Illinois University,IL,Charleston,14269,6012,920-1110,http://www.eiu.edu,55
Eastern Kentucky University,KY,Richmond,19638,13399,1020-1190,http://www.eku.edu,87
Eastern Mennonite University,VA,Harrisonburg,38230,1040,1000-1230,http://www.emu.edu,59
Eastern Michigan University,MI,Ypsilanti,12940,15730,970-1200,http://www.emich.edu/,76
Eastern Nazarene College,MA,Quincy,26568,660,920-1190,http://www.dartmouth.edu,64
Eastern New Mexico University,NM,Portales,8448,4706,860-1070,http://www.enmu.edu,60
Eastern Oregon University,OR,La Grande,21729,2744,940-1133,http://www.eou.edu,98
Eastern University,PA,St. Davids,33854,1885,1030-1190,http://www.eastern.edu,68
Eastern Washington University,WA,Cheney,24958,11410,870-1080,http://www.ewu.edu,63
East Georgia State College,GA,Swainsboro,,,N/A,//www.ega.edu/admissions,
East Stroudsburg University of Pennsylvania,PA,East Stroudsburg,24318,5713,910-1120,https://www.esu.edu/admissions/index.cfm,72
East Tennessee State University,TN,Johnson City,,,970-1190,http://www.etsu.edu,85
East Texas Baptist University,TX,Marshall,27210,1485,970-1110,https://www.etbu.edu,54
East-West University,IL,Chicago,,,N/A,http://www.eastwest.edu,41
Eckerd College,FL,St. Petersburg,46096,1999,1080-1280,http://www.eckerd.edu,68
ECPI University,VA,Virginia Beach,15811,12704,N/A,http://www.ecpi.edu/,72
Edgewood College,WI,Madison,30600,1488,970-1220,http://www.edgewood.edu,73
Edinboro University of Pennsylvania,PA,Edinboro,14401,3572,960-1140,http://www.edinboro.edu,80
Edmonds Community College,WA,Lynnwood,,,N/A,//www.wvc.edu,
EDP University of Puerto Rico Inc--San Juan,PR,San Juan,,,N/A,//www.greenriver.edu/,
Edward Waters College,FL,Jacksonville,,,790-970,http://www.ewc.edu,60
Elizabeth City State University,NC,Elizabeth City,7980,1637,860-990,http://www.ecsu.edu,59
Elizabethtown College,PA,Elizabethtown,32000,1633,1070-1290,http://www.etown.edu,76
Elmhurst College,IL,Elmhurst,37754,2848,993-1190,http://www.elmhurst.edu,67
Elmira College,NY,Elmira,35400,819,1070-1210,http://www.elmira.edu,84
Elon University,NC,Elon,36571,6196,1150-1330,http://www.elon.edu,72
Embry-Riddle Aeronautical University,FL,Daytona Beach,36868,5984,1110-1320,http://www.embryriddle.edu,65
Embry-Riddle Aeronautical University--Prescott,AZ,Prescott,36708,2726,1140-1355,https://prescott.erau.edu/index.html,67
Emerson College,MA,Boston,48728,3855,1200-1390,//www.emerson.edu,36
Emmanuel College,GA,Franklin Springs,20712,920,930-1150,http://www.ec.edu,42
Emmanuel College,MA,Boston,41448,2089,1100-1280,http://www.emmanuel.edu,77
Emmaus Bible College,IA,Dubuque,18400,,1020-1210,//www.emmaus.edu,58
Emory and Henry College,VA,Emory,35100,979,980-1160,http://www.ehc.edu,69
Emory University,GA,Atlanta,53804,7086,1350-1520,http://www.emory.edu,19
Emporia State University,KS,Emporia,20715,3569,N/A,http://www.emporia.edu,85
Endicott College,MA,Beverly,34154,3385,1070-1240,http://www.endicott.edu,80
Erskine College,SC,Due West,36150,574,930-1140,http://www.csudh.edu,58
Escuela de Artes Plasticas de Puerto Rico,PR,San Juan,,,N/A,//www.eap.edu,
Eureka College,IL,Eureka,26890,567,950-1170,http://www.eureka.edu,57
Evangel University,MO,Springfield,24202,1644,970-1180,http://www.evangel.edu,79
Everglades University,FL,Boca Raton,,,N/A,http://www.evergladesuniversity.edu,73
Evergreen State College,WA,Olympia,26460,3018,1000-1220,http://www.evergreen.edu,95
Excelsior College,NY,Albany,,,N/A,//www.excelsior.edu,
Fairfield University,CT,Fairfield,49830,4177,1190-1340,http://www.fairfield.edu,60
Fairleigh Dickinson University,NJ,Teaneck,42775,8590,1030-1210,http://www.fdu.edu,87
Fairmont State University,WV,Fairmont,17140,3673,900-1090,http://www.fairmontstate.edu,95
Faith Baptist Bible College and Theological Seminary,IA,Ankeny,,,N/A,//www.faith.edu/,
Farmingdale State College--SUNY,NY,Farmingdale,18448,9916,1010-1160,http://www.farmingdale.edu,46
Fashion Institute of Design & Merchandising,CA,Los Angeles,31050,2542,N/A,http://fidm.edu/,53
Fashion Institute of Technology,NY,New York,16490,8555,N/A,http://www.fitnyc.edu,53
Faulkner University,AL,Montgomery,22310,2428,940-1120,//www.faulkner.edu,52
Fayetteville State University,NC,Fayetteville,16523,5473,890-1030,https://www.uncfsu.edu/fsu-admissions/undergraduate-admissions,68
Feather River Community College District,CA,Quincy,,,N/A,//www.frc.edu,
Felician University,NJ,Lodi,35000,1624,920-1080,http://www.felician.edu,81
Ferris State University,MI,Big Rapids,13469,11885,940-1170,http://www.ferris.edu,81
Ferrum College,VA,Ferrum,34175,1124,870-1053,http://www.ferrum.edu,75
Finlandia University,MI,Hancock,,,790-1040,http://www.finlandia.edu,36
Fisher College,MA,Boston,31992,1555,810-1030,http://www.fisher.edu,70
Fisk University,TN,Nashville,21480,743,890-1120,http://www.fisk.edu,72
Fitchburg State University,MA,Fitchburg,16490,4164,1000-1150,http://www.fitchburgstate.edu,87
Five Towns College,NY,Dix Hills,,,N/A,http://www.ftc.edu,91
Flagler College,FL,St. Augustine,19500,2600,1030-1220,http://www.flagler.edu,57
Florida A&M University,FL,Tallahassee,17725,8137,1040-1170,http://www.famu.edu,39
Florida Atlantic University,FL,Boca Raton,21595,24569,1080-1240,http://www.fau.edu,59
Florida College,FL,Temple Terrace,17142,508,960-1128,http://www.floridacollege.edu/,74
Florida Gateway College,FL,Lake City,11747,3781,N/A,//www.fgc.edu,
Florida Gulf Coast University,FL,Fort Myers,25162,13871,1060-1210,http://www.fgcu.edu,65
Florida Institute of Technology,FL,Melbourne,42470,3680,1150-1340,http://www.fit.edu,65
Florida International University,FL,Miami,18956,48439,1090-1260,http://www.fiu.edu,59
Florida Keys Community College,FL,Key West,,,N/A,//www.fkcc.edu,
Florida Memorial University,FL,Miami,15536,1138,N/A,http://www.fmuniv.edu/,
Florida National University--Main Campus,FL,Hialeah,13688,3819,N/A,http://www.fnu.edu/,97
Florida Polytechnic University,FL,Lakeland,21005,1392,1220-1368,https://floridapoly.edu/,51
Florida Southern College,FL,Lakeland,37640,2723,1130-1300,http://www.flsouthern.edu,50
Florida SouthWestern State College,FL,Fort Myers,12978,16576,N/A,//www.fsw.edu,81
Florida State College--Jacksonville,FL,Jacksonville,,,N/A,//www.fscj.edu,
Florida State University,FL,Tallahassee,21673,32472,1200-1350,http://www.fsu.edu,37
Fontbonne University,MO,St. Louis,27260,891,930-1150,http://www.fontbonne.edu,81
Foothill College,CA,Los Altos Hills,,,N/A,//www.foothill.edu,
Fordham University,NY,New York,54093,9645,1250-1430,http://www.fordham.edu,46
Fort Hays State University,KS,Hays,15210,12780,N/A,http://www.fhsu.edu,92
Fort Lewis College,CO,Durango,21344,3270,1010-1200,http://www.fortlewis.edu,91
Fort Valley State University,GA,Fort Valley,19740,2359,833-990,http://www.fvsu.edu,53
Framingham State University,MA,Framingham,16600,3937,960-1130,http://www.framingham.edu,73
Franciscan University of Steubenville,OH,Steubenville,28880,2241,1060-1280,http://www.franciscan.edu,77
Francis Marion University,SC,Florence,21544,3485,930-1130,http://www.fmarion.edu,64
Franklin and Marshall College,PA,Lancaster,58795,2309,1260-1440,http://www.fandm.edu,35
Franklin College,IN,Franklin,32970,960,980-1170,http://www.franklincollege.edu,75
Franklin Pierce University,NH,Rindge,38200,1628,970-1160,http://www.franklinpierce.edu/,78
Franklin University,OH,Columbus,,,N/A,//www.franklin.edu,
Franklin University Switzerland,,6924 Sorengo (Lugano,43420,,N/A,//www.fus.edu/,
Franklin W. Olin College of Engineering,MA,Needham,52844,390,1460-1550,http://www.olin.edu/,16
Freed-Hardeman University,TN,Henderson,22950,1548,1068-1266,http://www.fhu.edu,93
Fresno Pacific University,CA,Fresno,32458,2893,940-1130,http://www.fresno.edu,64
Friends University,KS,Wichita,29394,1356,920-1090,//www.friends.edu,47
Frostburg State University,MD,Frostburg,23510,4638,930-1120,http://www.frostburg.edu,78
Furman University,SC,Greenville,50844,2754,1230-1410,http://www.furman.edu/,61
Galen College of Nursing--Louisville,KY,Louisville,,,N/A,,
Gallaudet University,DC,Washington,17038,1138,792-1077,http://www.gallaudet.edu,57
Gannon University,PA,Erie,33226,3291,1020-1220,http://www.gannon.edu,81
Gardner-Webb University,NC,Boiling Springs,31460,2028,970-1180,http://www.gardner-webb.edu,48
Geneva College,PA,Beaver Falls,28190,1376,1000-1240,http://www.geneva.edu,63
George Fox University,OR,Newberg,37280,2700,1020-1230,http://www.georgefox.edu,82
George Mason University,VA,Fairfax,36024,26192,1120-1320,https://www2.gmu.edu,81
Georgetown College,KY,Georgetown,39810,961,1015-1145,http://www.georgetowncollege.edu,48
Georgetown University,DC,Washington,56058,7459,1370-1530,http://www.georgetown.edu,15
George Washington University,DC,Washington,56935,12546,1280-1460,http://www.gwu.edu,42
Georgia College & State University,GA,Milledgeville,28710,5958,1110-1280,http://www.gcsu.edu,78
Georgia Gwinnett College,GA,Lawrenceville,16744,12508,930-1110,http://www.ggc.edu,92
Georgia Highlands College,GA,Rome,,,N/A,,
Georgia Institute of Technology,GA,Atlanta,33794,16049,1390-1540,http://admission.gatech.edu,23
Georgia Military College,GA,Milledgeville,,,N/A,https://www.hfcc.edu,
Georgian Court University,NJ,Lakewood,33610,1783,935-1130,//georgian.edu,72
Georgia Southern University,GA,Statesboro,21374,23134,1060-1200,http://www.georgiasouthern.edu/,68
Georgia Southwestern State University,GA,Americus,19918,2467,940-1120,https://www.gsw.edu,69
Georgia State University,GA,Atlanta,30114,27190,990-1190,http://www.gsu.edu,57
Gettysburg College,PA,Gettysburg,56390,2433,1270-1420,https://www.gettysburg.edu/,45
Glenville State College,WV,Glenville,14872,1586,855-1060,http://www.glenville.edu,71
Goddard College,VT,Plainfield,,,N/A,http://www.goddard.edu,
God's Bible School and College,OH,Cincinnati,,,N/A,//www.gbs.edu/index.shtml,
Golden Gate University,CA,San Francisco,11343,415,N/A,http://www.ggu.edu/apply,
Goldey-Beacom College,DE,Wilmington,,,N/A,//www.gbc.edu,
Goldfarb School of Nursing at Barnes-Jewish College,MO,St. Louis,,623,N/A,http://www.barnesjewishcollege.edu/bjconahhome.asp,
Gonzaga University,WA,Spokane,45140,5317,1183-1350,https://www.gonzaga.edu,66
Good Samaritan College of Nursing and Health Science,OH,Cincinnati,,,N/A,,
Goodwin College,CT,East Hartford,,,N/A,,
Gordon College,MA,Wenham,38650,1618,1050-1285,http://www.gordon.edu,75
Gordon State College,GA,Barnesville,12422,,840-1030,http://www.gordonstate.edu/,84
Goshen College,IN,Goshen,34540,845,995-1210,http://www.goshen.edu,66
Goucher College,MD,Baltimore,45250,1425,1040-1290,http://www.goucher.edu,80
Governors State University,IL,University Park,22006,3262,860-1045,http://www.govst.edu/,38
Grace Christian University,MI,Grand Rapids,20850,978,N/A,//gracechristian.edu,95
Grace College and Seminary,IN,Winona Lake,24768,,990-1220,http://www.grace.edu,82
Graceland University,IA,Lamoni,30420,1180,950-1110,http://www.graceland.edu,58
Grambling State University,LA,Grambling,7683,4110,840-990,http://www.gram.edu/,96
Grand Canyon University,AZ,Phoenix,,,N/A,https://apply.gcu.edu,67
Grand Valley State University,MI,Allendale,18296,21680,1050-1240,http://www.gvsu.edu,83
Grand View University,IA,Des Moines,28678,1760,920-1110,//www.grandview.edu,92
Granite State College,NH,Concord,10875,1736,N/A,http://www.granite.edu,100
Gratz College,PA,Melrose Park,,,N/A,http://www.gratzcollege.edu,
Grays Harbor College,WA,Aberdeen,,,N/A,//www.yvcc.edu,
Great Basin College,NV,Elko,,,N/A,//www.gbcnv.edu,
Great Lakes Christian College,MI,Lansing,,,N/A,//www.glcc.edu/,
Green River College,WA,Auburn,,,N/A,//uwc.edu,
Greensboro College,NC,Greensboro,18500,904,910-1140,http://www.gborocollege.edu,44
Greenville University,IL,Greenville,27954,964,850-1060,http://www.greenville.edu,48
Grinnell College,IA,Grinnell,54354,1716,1370-1530,http://www.grinnell.edu,24
Grove City College,PA,Grove City,18470,2338,1085-1275,http://www.gcc.edu,79
Guilford College,NC,Greensboro,38410,1567,903-1143,http://www.guilford.edu,64
Gulf Coast State College,FL,Panama City,7685,,N/A,,
Gustavus Adolphus College,MN,St. Peter,46720,2240,1140-1390,https://gustavus.edu,66
Gwynedd Mercy University,PA,Gwynedd Valley,34580,2033,940-1110,https://www.gmercyu.edu/,92
Hamilton College,NY,Clinton,56530,1915,1350-1510,http://www.hamilton.edu,21
Hamline University,MN,St. Paul,42774,2106,1060-1280,http://www.hamline.edu,67
Hampden-Sydney College,VA,Hampden-Sydney,46890,1072,1050-1250,http://www.hsc.edu,59
Hampshire College,MA,Amherst,,,N/A,//www.hampshire.edu,
Hampton University,VA,Hampton,28024,3672,1040-1310,http://www.hamptonu.edu,36
Hannibal-LaGrange University,MO,Hannibal,,,N/A,//www.hlg.edu,54
Hanover College,IN,Hanover,38750,1104,1040-1260,http://www.hanover.edu,79
Harding University,AR,Searcy,20530,3974,1060-1300,http://www.harding.edu,68
Hardin-Simmons University,TX,Abilene,30140,1765,1000-1170,http://www.hsutx.edu/,84
Harrisburg University of Science and Technology,PA,Harrisburg,23900,985,N/A,http://www.harrisburgu.edu,
Harris-Stowe State University,MO,St. Louis,10020,1716,790-955,http://www.hssu.edu,56
Hartwick College,NY,Oneonta,46926,1176,1070-1190,http://www.hartwick.edu,80
Harvard University,MA,Cambridge,51925,6788,1460-1580,http://www.harvard.edu/,5
Harvey Mudd College,CA,Claremont,58660,889,1490-1560,http://www.hmc.edu,14
Haskell Indian Nations University,KS,Lawrence,,,N/A,//www.haskell.edu/,
Hastings College,NE,Hastings,31560,1048,940-1130,http://www.hastings.edu,64
Haverford College,PA,Haverford,56698,1310,1370-1530,http://www.haverford.edu,19
Hawaii Pacific University,HI,Honolulu,27350,3545,1020-1220,https://www.hpu.edu/,75
Hebrew College,MA,Newton Centre,,,N/A,,
Hebrew Theological College,IL,Skokie,,,N/A,//www.htc.edu/,
Heidelberg University,OH,Tiffin,31700,1039,990-1150,http://www.heidelberg.edu,67
Helene Fuld College of Nursing,NY,New York,,,N/A,,
Hellenic College,MA,Brookline,39232,67,N/A,//hchc.edu,41
Henderson State University,AR,Arkadelphia,10521,3000,978-1130,https://www.hsu.edu/pages/future-students/admissions/,91
Hendrix College,AR,Conway,47600,1202,1153-1390,http://www.hendrix.edu,72
Henry Ford College,MI,Dearborn,,,N/A,//www.schoolcraft.edu,
Heritage University,WA,Toppenish,,,N/A,//www.heritage.edu,
Herzing University,WI,Madison,,,N/A,http://www.herzing.edu/,83
Hesston College,KS,Hesston,27690,419,900-1180,,51
Highline College,WA,Des Moines,,,N/A,//www.marianas.edu/,
High Point University,NC,High Point,36268,4545,1090-1250,http://www.highpoint.edu,77
Hilbert College,NY,Hamburg,,,N/A,//www.hilbert.edu/,
Hillsdale College,MI,Hillsdale,28368,1468,1275-1465,http://www.hillsdale.edu,36
Hiram College,OH,Hiram,37710,1244,930-1190,http://www.hiram.edu,58
Hiwassee College,TN,Madisonville,,,870-1070,//www.highline.edu,64
Hobart and William Smith Colleges,NY,Geneva,57058,2229,1203-1360,http://www.hws.edu,57
Hodges University,FL,Naples,,,N/A,http://www.hodges.edu,
Hofstra University,NY,Hempstead,47510,6701,1150-1330,http://www.hofstra.edu,63
Hollins University,VA,Roanoke,40010,676,1070-1280,http://www.hollins.edu,64
Holy Apostles College and Seminary,CT,Cromwell,10840,,N/A,http://www.holyapostles.edu/,
Holy Cross College,IN,Notre Dame,32000,499,1070-1390,http://www.hcc-nd.edu/home,88
Holy Family University,PA,Philadelphia,31040,,920-1090,http://www.holyfamily.edu,71
Holy Names University,CA,Oakland,40102,629,713-870,http://www.hnu.edu,70
Hood College,MD,Frederick,41060,1092,990-1270,http://www.hood.edu,71
Hope College,MI,Holland,35330,3149,1110-1330,http://www.hope.edu,76
Hope International University,CA,Fullerton,33400,683,930-1090,http://www.hiu.edu,29
Houghton College,NY,Houghton,33458,988,1030-1280,http://www.houghton.edu,95
Houston Baptist University,TX,Houston,33450,2321,1030-1200,http://www.hbu.edu,70
Howard Payne University,TX,Brownwood,29198,962,950-1100,http://www.hputx.edu,58
Howard University,DC,Washington,27206,6243,1140-1285,http://www.howard.edu,32
Huertas College,PR,Caguas,,,N/A,,
Hult International Business School,CA,Cambridge,42500,1487,1210-1285,http://www.hult.edu,50
Humboldt State University,CA,Arcata,19660,7195,970-1180,http://www.humboldt.edu,75
Humphreys College,CA,Stockton,,,N/A,http://www.humphreys.edu,
Huntingdon College,AL,Montgomery,27400,1081,989-1150,http://www.huntingdon.edu,58
Huntington University,IN,Huntington,26846,1103,990-1180,http://www.huntington.edu,84
Husson University,ME,Bangor,18940,2912,930-1140,http://www.husson.edu,83
Huston-Tillotson University,TX,Austin,14346,1119,810-980,http://htu.edu/,47
Idaho State University,ID,Pocatello,,,N/A,//www.isu.edu,
Illinois College,IL,Jacksonville,33740,983,990-1170,http://www.ic.edu,76
Illinois Institute of Art--Chicago,IL,Chicago,,,N/A,//www.artinstitutes.edu/chicago/,
Illinois Institute of Technology,IL,Chicago,49280,3026,1220-1400,http://admissions.iit.edu/undergraduate/apply,58
Illinois State University,IL,Normal,26040,18107,N/A,https://illinoisstate.edu/,89
